Archivo;Año;Mes Num;Mes;Concepto;Grupo;Importe;Total Recibo;Pagado;Deuda
9.pdf;2020;9;SEPTIEMBRE;TERMINO FIJO GAS NATURAL;GAS NATURAL,ACS Y CALEFACCION;5,57;80,79;80,79;0,00
9.pdf;2020;9;SEPTIEMBRE;TERMINO VARIABLE GAS NATURAL GAS NATURAL,ACS Y CALEFACCION;;6,64;80,79;80,79;0,00
1.pdf;2021;1;ENERO;ACS;L.ANT:481,88 L.ACT:487,12=5,24;23,58;122,70;122,70;0,00
1.pdf;2021;1;ENERO;ADMINISTRACION;ADMINISTRACION;2,66;122,70;122,70;0,00
1.pdf;2021;1;ENERO;CALEF.;L.ANT:20367,00;26,88;122,70;122,70;0,00
1.pdf;2021;1;ENERO;COMISIONES BANCARIAS;PRESUPUESTO;0,25;122,70;122,70;0,00
1.pdf;2021;1;ENERO;CONSUMO AGUA CALDERA;GAS NATURAL,ACS Y CALEFACCION;1,38;122,70;122,70;0,00
1.pdf;2021;1;ENERO;CONSUMO DE AGUA;PRESUPUESTO;0,47;122,70;122,70;0,00
1.pdf;2021;1;ENERO;CONSUMO ELECTRICO GARAJE;PRESUPUESTO;7,17;122,70;122,70;0,00
1.pdf;2021;1;ENERO;CONSUMO ELECTRICO PORTALES;PRESUPUESTO;7,17;122,70;122,70;0,00
1.pdf;2021;1;ENERO;FONDO DE PROVISION AL 5%;FONDO DE PROVISIÓN AL 5%;2,17;122,70;122,70;0,00
1.pdf;2021;1;ENERO;LIMPIEZA DE LA COMUNIDAD;PRESUPUESTO;9,11;122,70;122,70;0,00
1.pdf;2021;1;ENERO;MANTENIMIENTO ASCENSORES;PRESUPUESTO;18,50;122,70;122,70;0,00
1.pdf;2021;1;ENERO;MANTENIMIENTO CALDERA;GAS NATURAL,ACS Y CALEFACCION;8,30;122,70;122,70;0,00
1.pdf;2021;1;ENERO;MANTENIMIENTO DE EXTINCION DE PRESUPUESTO INCENDIOS;;1,59;122,70;122,70;0,00
1.pdf;2021;1;ENERO;OBRAS Y MEJORAS;PRESUPUESTO;1,26;122,70;122,70;0,00
1.pdf;2021;1;ENERO;TERMINO FIJO GAS NATURAL;GAS NATURAL,ACS Y CALEFACCION;5,57;122,70;122,70;0,00
1.pdf;2021;1;ENERO;TERMINO VARIABLE GAS NATURAL GAS NATURAL,ACS Y CALEFACCION;;6,64;122,70;122,70;0,00
10.pdf;2021;10;OCTUBRE;ACS;L.ANT:525,29 L.ACT:530,19=4,90;22,05;94,29;94,29;0,00
10.pdf;2021;10;OCTUBRE;ADMINISTRACION;ADMINISTRACION;2,66;94,29;94,29;0,00
10.pdf;2021;10;OCTUBRE;COMISIONES BANCARIAS;PRESUPUESTO;0,25;94,29;94,29;0,00
10.pdf;2021;10;OCTUBRE;CONSUMO AGUA CALDERA;GAS NATURAL,ACS Y CALEFACCION;1,38;94,29;94,29;0,00
10.pdf;2021;10;OCTUBRE;CONSUMO DE AGUA;PRESUPUESTO;0,47;94,29;94,29;0,00
10.pdf;2021;10;OCTUBRE;CONSUMO ELECTRICO GARAJE;PRESUPUESTO;7,17;94,29;94,29;0,00
10.pdf;2021;10;OCTUBRE;CONSUMO ELECTRICO PORTALES;PRESUPUESTO;7,17;94,29;94,29;0,00
10.pdf;2021;10;OCTUBRE;FONDO DE PROVISION AL 5%;FONDO DE PROVISIÓN AL 5%;2,17;94,29;94,29;0,00
10.pdf;2021;10;OCTUBRE;LIMPIEZA DE LA COMUNIDAD;PRESUPUESTO;9,11;94,29;94,29;0,00
10.pdf;2021;10;OCTUBRE;MANTENIMIENTO ASCENSORES;PRESUPUESTO;18,50;94,29;94,29;0,00
10.pdf;2021;10;OCTUBRE;MANTENIMIENTO CALDERA;GAS NATURAL,ACS Y CALEFACCION;8,30;94,29;94,29;0,00
10.pdf;2021;10;OCTUBRE;MANTENIMIENTO DE EXTINCION DE PRESUPUESTO INCENDIOS;;1,59;94,29;94,29;0,00
10.pdf;2021;10;OCTUBRE;OBRAS Y MEJORAS;PRESUPUESTO;1,26;94,29;94,29;0,00
10.pdf;2021;10;OCTUBRE;TERMINO FIJO GAS NATURAL;GAS NATURAL,ACS Y CALEFACCION;5,57;94,29;94,29;0,00
10.pdf;2021;10;OCTUBRE;TERMINO VARIABLE GAS NATURAL GAS NATURAL,ACS Y CALEFACCION;;6,64;94,29;94,29;0,00
11.pdf;2021;11;NOVIEMBRE;ACS;L.ANT:530,19 L.ACT:533,31=3,12;14,04;86,28;86,28;0,00
11.pdf;2021;11;NOVIEMBRE;ADMINISTRACION;ADMINISTRACION;2,66;86,28;86,28;0,00
11.pdf;2021;11;NOVIEMBRE;COMISIONES BANCARIAS;PRESUPUESTO;0,25;86,28;86,28;0,00
11.pdf;2021;11;NOVIEMBRE;CONSUMO AGUA CALDERA;GAS NATURAL,ACS Y CALEFACCION;1,38;86,28;86,28;0,00
11.pdf;2021;11;NOVIEMBRE;CONSUMO DE AGUA;PRESUPUESTO;0,47;86,28;86,28;0,00
11.pdf;2021;11;NOVIEMBRE;CONSUMO ELECTRICO GARAJE;PRESUPUESTO;7,17;86,28;86,28;0,00
11.pdf;2021;11;NOVIEMBRE;CONSUMO ELECTRICO PORTALES;PRESUPUESTO;7,17;86,28;86,28;0,00
11.pdf;2021;11;NOVIEMBRE;FONDO DE PROVISION AL 5%;FONDO DE PROVISIÓN AL 5%;2,17;86,28;86,28;0,00
11.pdf;2021;11;NOVIEMBRE;LIMPIEZA DE LA COMUNIDAD;PRESUPUESTO;9,11;86,28;86,28;0,00
11.pdf;2021;11;NOVIEMBRE;MANTENIMIENTO ASCENSORES;PRESUPUESTO;18,50;86,28;86,28;0,00
11.pdf;2021;11;NOVIEMBRE;MANTENIMIENTO CALDERA;GAS NATURAL,ACS Y CALEFACCION;8,30;86,28;86,28;0,00
11.pdf;2021;11;NOVIEMBRE;MANTENIMIENTO DE EXTINCION DE PRESUPUESTO INCENDIOS;;1,59;86,28;86,28;0,00
11.pdf;2021;11;NOVIEMBRE;OBRAS Y MEJORAS;PRESUPUESTO;1,26;86,28;86,28;0,00
11.pdf;2021;11;NOVIEMBRE;TERMINO FIJO GAS NATURAL;GAS NATURAL,ACS Y CALEFACCION;5,57;86,28;86,28;0,00
11.pdf;2021;11;NOVIEMBRE;TERMINO VARIABLE GAS NATURAL GAS NATURAL,ACS Y CALEFACCION;;6,64;86,28;86,28;0,00
12.pdf;2021;12;DICIEMBRE;ACS;L.ANT:533,31 L.ACT:538,23=4,92;22,14;94,38;94,38;0,00
12.pdf;2021;12;DICIEMBRE;ADMINISTRACION;ADMINISTRACION;2,66;94,38;94,38;0,00
12.pdf;2021;12;DICIEMBRE;COMISIONES BANCARIAS;PRESUPUESTO;0,25;94,38;94,38;0,00
12.pdf;2021;12;DICIEMBRE;CONSUMO AGUA CALDERA;GAS NATURAL,ACS Y CALEFACCION;1,38;94,38;94,38;0,00
12.pdf;2021;12;DICIEMBRE;CONSUMO DE AGUA;PRESUPUESTO;0,47;94,38;94,38;0,00
